sample_name,library,organism,read1,read2,read_length,read_type
CESC-480D4965-DBC3-47D2-A352-E68A44F75232-X004-S10-L058-B1-T1-P006,ATAC,human,read1,read2,75,paired
CESC-480D4965-DBC3-47D2-A352-E68A44F75232-X004-S10-L059-B1-T2-P006,ATAC,human,read1,read2,75,paired
CESC-BA6FB645-26C4-436D-AF9D-653767310153-X004-S09-L057-B1-T1-P007,ATAC,human,read1,read2,75,paired
CESC-DADFADB7-86D6-4074-B19E-BB81F4D22A17-X004-S08-L055-B1-T1-P007,ATAC,human,read1,read2,75,paired
CESC-DADFADB7-86D6-4074-B19E-BB81F4D22A17-X004-S08-L056-B1-T2-P007,ATAC,human,read1,read2,75,paired
CHOL-1061FF2E-0ECA-4DE5-8D6D-E1A9B123B75F-X009-S05-L033-B1-T1-P021,ATAC,human,read1,read2,75,paired
CHOL-1061FF2E-0ECA-4DE5-8D6D-E1A9B123B75F-X009-S05-L034-B1-T2-P029,ATAC,human,read1,read2,75,paired
CHOL-2C9A8381-93B9-441F-B8DD-EFA6B50812FD-X016-S04-L053-B1-T1-P032,ATAC,human,read1,read2,75,paired
CHOL-2C9A8381-93B9-441F-B8DD-EFA6B50812FD-X016-S04-L054-B1-T2-P035,ATAC,human,read1,read2,75,paired
CHOL-39DCFAD0-1750-4418-9643-B5F2EAD9632A-X014-S08-L015-B1-T1-P046,ATAC,human,read1,read2,75,paired
CHOL-39DCFAD0-1750-4418-9643-B5F2EAD9632A-X014-S08-L016-B1-T2-P031,ATAC,human,read1,read2,75,paired
CHOL-500901B3-0753-4499-9A97-91CEF27C355E-X005-S03-L005-B1-T1-P013,ATAC,human,read1,read2,75,paired
CHOL-500901B3-0753-4499-9A97-91CEF27C355E-X005-S03-L006-B1-T2-P015,ATAC,human,read1,read2,75,paired
CHOL-75A6DCBC-AD94-4D7C-BF14-E5CB355B0E91-X019-S04-L054-B1-T1-P043,ATAC,human,read1,read2,75,paired
CHOL-75A6DCBC-AD94-4D7C-BF14-E5CB355B0E91-X019-S04-L055-B1-T2-P044,ATAC,human,read1,read2,75,paired
COAD-0914606C-2CA1-4287-B530-DB70EA93ED6C-X022-S02-L050-B1-T1-P053,ATAC,human,read1,read2,75,paired
COAD-0914606C-2CA1-4287-B530-DB70EA93ED6C-X022-S02-L051-B1-T2-P050,ATAC,human,read1,read2,75,paired
COAD-0B139EBC-D372-4EC3-90DB-4CC9BC6F38DC-X006-S05-L038-B1-T1-P012,ATAC,human,read1,read2,75,paired
COAD-0B139EBC-D372-4EC3-90DB-4CC9BC6F38DC-X006-S05-L039-B1-T2-P014,ATAC,human,read1,read2,75,paired
COAD-0B7D5055-6D9C-46BB-A420-8098CD555089-X003-S07-L031-B1-T1-P002,ATAC,human,read1,read2,75,paired
COAD-0B7D5055-6D9C-46BB-A420-8098CD555089-X003-S07-L032-B1-T2-P002,ATAC,human,read1,read2,75,paired
COAD-1B956E80-EFF5-4EF5-88F3-EBDF4515217A-X021-S05-L033-B1-T2-P052,ATAC,human,read1,read2,75,paired
COAD-1E46B832-4B41-4CA3-B2DB-C8287EFFC589-X011-S04-L007-B1-T1-P025,ATAC,human,read1,read2,75,paired
COAD-1E46B832-4B41-4CA3-B2DB-C8287EFFC589-X011-S04-L008-B1-T2-P026,ATAC,human,read1,read2,75,paired
COAD-29C18FA9-CDF6-49A5-9CEB-49C11EF0433F-X003-S08-L033-B1-T1-P002,ATAC,human,read1,read2,75,paired
COAD-29C18FA9-CDF6-49A5-9CEB-49C11EF0433F-X003-S08-L034-B1-T2-P002,ATAC,human,read1,read2,75,paired
COAD-2EB7D36F-5616-460C-91C9-6D0AEA893D97-X001-S04-L007-B1-T1-P004,ATAC,human,read1,read2,75,paired
COAD-32AA8B86-5414-4552-B946-E2F368618E5F-X009-S12-L047-B1-T1-P016,ATAC,human,read1,read2,75,paired
COAD-32AA8B86-5414-4552-B946-E2F368618E5F-X009-S12-L048-B1-T2-P017,ATAC,human,read1,read2,75,paired
COAD-3B3A0F79-C38C-42F9-A7ED-EEA42B66C468-X023-S14-L099-B1-T1-P055,ATAC,human,read1,read2,75,paired
COAD-3B3A0F79-C38C-42F9-A7ED-EEA42B66C468-X023-S14-L100-B1-T2-P058,ATAC,human,read1,read2,75,paired
COAD-3ECCFFD0-0915-4151-9B10-6C7C37372A72-X002-S05-L009-B1-T1-P001,ATAC,human,read1,read2,75,paired
COAD-3ECCFFD0-0915-4151-9B10-6C7C37372A72-X002-S05-L010-B1-T2-P001,ATAC,human,read1,read2,75,paired
COAD-42D5A2CF-D448-4072-8278-98B643DAA870-X022-S08-L061-B1-T1-P049,ATAC,human,read1,read2,75,paired
COAD-42D5A2CF-D448-4072-8278-98B643DAA870-X022-S08-L062-B1-T2-P048,ATAC,human,read1,read2,75,paired
COAD-42E74A17-DD9B-46E6-9EE5-B13002ABE778-X012-S09-L041-B1-T1-P022,ATAC,human,read1,read2,75,paired
